Instance,Vehicles,Distance
100-ce-8,4,794.20
100-ce-9,3,605.38
100-ch-2,13,1241.86
100-ch-5,11,936.74
100-rce-33,9,1894.29
100-rch-25,21,2158.90
100-rch-27,21,2030.89
100-rch-30,12,1276.21
100-rh-17,14,1347.73
200-ce-36,13,2783.29
200-ce-37,11,3049.17
200-ch-34,26,4428.45
200-ch-35,22,4206.46
200-rce-42,12,4082.33
200-rce-43,7,3405.80
200-rch-41,20,4581.09
200-re-39,6,2710.70
200-re-40,10,4266.45
200-rh-38,36,6593.23
25-ce-6,2,243.61
25-ch-3,4,226.76
25-ch-4,3,222.16
25-rce-31,3,450.09
25-rch-28,4,411.30
25-rch-29,3,294.99
25-re-19,3,585.42
25-re-20,3,562.91
25-re-22,2,417.38
25-re-23,2,416.99
25-re-24,3,485.90
25-rh-13,5,474.65
25-rh-18,4,433.87
400-ce-46,30,7960.82
400-ce-47,21,7355.42
400-ch-44,46,10794.93
400-ch-45,43,11494.55
400-rce-51,24,9807.37
400-rch-50,44,12286.38
400-re-49,16,7802.12
400-rh-48,37,9863.69
50-ce-10,2,352.12
50-ce-7,4,525.27
50-ch-1,6,543.93
50-rce-32,4,876.47
50-rch-26,10,1159.86
50-re-21,2,597.52
50-rh-12,9,912.80
50-rh-14,8,763.88
50-rh-15,13,1059.27
50-rh-16,7,755.35
600-ce-53,32,16290.32
600-ch-52,63,20493.68
600-rce-58,17,16373.96
600-rch-57,58,20873.78
600-re-56,19,15872.28
600-rh-54,85,32990.20
600-rh-55,66,27581.18
800-ce-60,50,21968.70
800-ch-59,96,43851.24
800-rce-64,40,35754.25
800-rch-63,84,43609.21
800-re-62,61,47523.75
800-rh-61,144,67676.64
